id,ref_area_code,obs_status_id,time_period,obs_value
1,AUS,A,2010,10.40000000
2,AUS,A,2011,10.20000000
3,AUS,A,2012,10.00000000
4,AUS,A,2013,9.90000000
5,AUS,A,2014,9.70000000
6,AUS,A,2015,9.80000000
7,AUS,A,2016,9.50000000
8,AUS,A,2017,9.50000000
9,ISL,A,2010,6.80000000
10,ISL,A,2011,6.80000000
11,ISL,A,2012,6.80000000
12,ISL,A,2013,6.80000000
13,ISL,A,2014,7.00000000
14,ISL,A,2015,7.70000000
15,ISL,A,2016,7.50000000
16,ISL,A,2017,7.70000000
17,ISL,A,2018,7.70000000
18,ISL,A,2019,7.40000000
19,ISL,A,2020,7.40000000
20,SVN,A,2010,10.30000000
21,SVN,A,2011,10.60000000
22,SVN,A,2012,11.00000000
23,SVN,A,2013,9.50000000
24,SVN,A,2014,10.90000000
25,SVN,A,2015,11.50000000
26,SVN,A,2016,10.50000000
27,SVN,A,2017,10.10000000
28,SVN,A,2018,10.00000000
29,SVN,A,2019,11.10000000
30,SVN,A,2020,9.80000000
31,SVN,A,2021,10.60000000
32,DNK,D,2010,10.80000000
33,DNK,D,2011,11.00000000
34,DNK,D,2012,9.80000000
35,DNK,D,2013,10.00000000
36,DNK,D,2014,10.10000000
37,DNK,D,2015,9.90000000
38,DNK,D,2016,10.00000000
39,DNK,D,2017,9.70000000
40,DNK,D,2018,9.70000000
41,DNK,D,2019,9.50000000
42,DNK,D,2020,9.70000000
43,DNK,D,2021,10.40000000
44,LTU,A,2010,13.50000000
45,LTU,A,2011,14.70000000
46,LTU,A,2012,14.70000000
47,LTU,A,2013,14.50000000
48,LTU,A,2014,14.20000000
49,LTU,A,2015,14.00000000
50,LTU,A,2016,13.20000000
51,LTU,A,2017,12.30000000
52,LTU,A,2018,11.20000000
53,LTU,A,2019,11.10000000
54,LTU,A,2020,11.40000000
55,LTU,A,2021,12.10000000
56,AUT,A,2010,12.10000000
57,AUT,A,2011,11.90000000
58,AUT,A,2012,12.10000000
59,AUT,A,2013,11.90000000
60,AUT,A,2014,12.20000000
61,AUT,A,2015,11.20000000
62,AUT,A,2016,11.40000000
63,AUT,A,2017,11.30000000
64,AUT,A,2018,11.30000000
65,AUT,A,2019,11.60000000
66,AUT,A,2020,11.30000000
67,AUT,A,2021,11.10000000
68,IND,A,2010,2.70000000
69,IND,A,2011,3.00000000
70,IND,A,2012,3.00000000
71,IND,A,2013,3.00000000
72,IND,A,2014,3.00000000
73,IND,A,2015,3.00000000
74,IND,A,2016,3.00000000
75,IND,A,2017,2.90000000
76,IND,A,2018,3.00000000
77,IND,A,2019,3.10000000
78,MEX,D,2010,4.00000000
79,MEX,D,2011,4.00000000
80,MEX,D,2012,3.90000000
81,MEX,D,2013,3.80000000
82,MEX,D,2014,4.00000000
83,MEX,D,2015,4.30000000
84,MEX,D,2016,4.40000000
85,MEX,D,2017,4.70000000
86,MEX,D,2018,4.80000000
87,MEX,D,2019,4.90000000
88,MEX,D,2020,4.20000000
89,MEX,D,2021,5.10000000
90,LUX,D,2010,11.90000000
91,LUX,D,2011,11.80000000
92,LUX,D,2012,11.80000000
93,LUX,D,2013,11.40000000
94,LUX,D,2014,11.60000000
95,LUX,D,2015,11.50000000
96,LUX,D,2016,11.40000000
97,LUX,D,2017,11.30000000
98,LUX,D,2018,11.10000000
99,LUX,D,2019,11.00000000
100,PER,A,2010,5.20000000
101,PER,A,2011,5.20000000
102,PER,A,2012,5.40000000
103,PER,A,2013,5.30000000
104,PER,A,2014,5.50000000
105,PER,A,2015,5.70000000
106,PER,A,2016,5.60000000
107,PER,A,2017,5.80000000
108,PER,A,2018,5.70000000
109,PER,A,2019,5.70000000
110,CHN,A,2010,5.80000000
111,CHN,A,2011,5.40000000
112,CHN,A,2012,5.50000000
113,CHN,A,2013,5.60000000
114,CHN,A,2014,5.70000000
115,CHN,A,2015,5.70000000
116,CHN,A,2016,5.60000000
117,CHN,A,2017,5.30000000
118,CHN,A,2018,4.80000000
119,CHN,A,2019,4.50000000
120,BEL,A,2010,10.30000000
121,BEL,A,2011,10.10000000
122,BEL,A,2012,10.10000000
123,BEL,A,2013,10.30000000
124,BEL,A,2014,10.60000000
125,BEL,A,2015,10.40000000
126,BEL,A,2016,9.40000000
127,BEL,A,2017,9.30000000
128,BEL,A,2018,9.20000000
129,BEL,A,2019,9.20000000
130,RUS,A,2010,15.80000000
131,RUS,A,2011,15.40000000
132,RUS,A,2012,14.80000000
133,RUS,A,2013,14.10000000
134,RUS,B,2014,14.00000000
135,RUS,A,2015,13.30000000
136,RUS,A,2016,13.00000000
137,RUS,A,2017,11.10000000
138,RUS,A,2018,11.10000000
139,RUS,A,2019,10.80000000
140,NLD,A,2010,9.10000000
141,NLD,A,2011,9.00000000
142,NLD,A,2012,9.10000000
143,NLD,A,2013,8.70000000
144,NLD,A,2014,8.40000000
145,NLD,A,2015,8.30000000
146,NLD,A,2016,8.20000000
147,NLD,A,2017,8.30000000
148,NLD,A,2018,8.30000000
149,NLD,A,2019,8.20000000
150,NLD,A,2020,7.80000000
151,NLD,A,2021,8.10000000
152,EST,D,2010,11.40000000
153,EST,D,2011,12.00000000
154,EST,D,2012,12.10000000
155,EST,D,2013,11.90000000
156,EST,D,2014,11.10000000
157,EST,D,2015,10.60000000
158,EST,D,2016,10.20000000
159,EST,D,2017,10.30000000
160,EST,D,2018,10.00000000
161,EST,D,2019,10.40000000
162,EST,D,2020,10.80000000
163,EST,D,2021,11.10000000
164,ARG,A,2010,8.20000000
165,ARG,A,2011,7.70000000
166,ARG,A,2012,8.00000000
167,ARG,A,2013,8.30000000
168,ARG,A,2014,7.90000000
169,ARG,A,2015,8.50000000
170,ARG,A,2016,8.40000000
171,ARG,A,2017,8.30000000
172,ARG,A,2018,8.00000000
173,ARG,A,2019,8.00000000
174,ESP,A,2010,9.80000000
175,ESP,A,2011,9.60000000
176,ESP,A,2012,9.40000000
177,ESP,A,2013,9.20000000
178,ESP,A,2014,9.50000000
179,ESP,A,2015,10.40000000
180,ESP,A,2016,10.90000000
181,ESP,A,2017,10.90000000
182,ESP,A,2018,10.40000000
183,ESP,A,2019,10.70000000
184,ESP,E,2020,8.70000000
185,ESP,E,2021,10.50000000
186,BGR,A,2010,9.80000000
187,BGR,A,2011,9.90000000
188,BGR,A,2012,10.90000000
189,BGR,A,2013,10.30000000
190,BGR,A,2014,10.30000000
191,BGR,A,2015,10.90000000
192,BGR,A,2016,11.10000000
193,BGR,A,2017,10.90000000
194,BGR,A,2018,11.50000000
195,BGR,A,2019,11.20000000
196,SWE,A,2010,7.40000000
197,SWE,A,2011,7.30000000
198,SWE,A,2012,7.20000000
199,SWE,A,2013,7.30000000
200,SWE,A,2014,7.20000000
201,SWE,A,2015,7.10000000
202,SWE,A,2016,7.20000000
203,SWE,A,2017,7.00000000
204,SWE,A,2018,7.20000000
205,SWE,A,2019,7.10000000
206,SWE,A,2020,7.50000000
207,SWE,A,2021,7.60000000
208,CZE,D,2010,11.40000000
209,CZE,D,2011,11.50000000
210,CZE,D,2012,11.60000000
211,CZE,D,2013,11.50000000
212,CZE,D,2014,11.90000000
213,CZE,D,2015,11.50000000
214,CZE,D,2016,11.70000000
215,CZE,D,2017,11.60000000
216,CZE,D,2018,11.80000000
217,CZE,D,2019,11.90000000
218,CZE,D,2020,11.60000000
219,CZE,D,2021,11.60000000
220,POL,A,2010,10.00000000
221,POL,A,2011,10.30000000
222,POL,A,2012,10.20000000
223,POL,A,2013,10.80000000
224,POL,A,2014,10.50000000
225,POL,A,2015,10.50000000
226,POL,A,2016,10.50000000
227,POL,A,2017,10.60000000
228,POL,A,2018,10.70000000
229,POL,A,2019,11.00000000
230,POL,A,2020,10.90000000
231,POL,A,2021,11.00000000
232,SVK,A,2010,10.10000000
233,SVK,A,2011,10.20000000
234,SVK,A,2012,10.10000000
235,SVK,A,2013,9.90000000
236,SVK,A,2014,10.10000000
237,SVK,A,2015,10.20000000
238,SVK,A,2016,9.90000000
239,SVK,A,2017,9.70000000
240,SVK,A,2018,10.10000000
241,SVK,A,2019,10.30000000
242,SVK,A,2020,10.20000000
243,SVK,A,2021,9.60000000
244,COL,A,2010,4.20000000
245,COL,A,2011,4.30000000
246,COL,A,2012,4.40000000
247,COL,A,2013,4.30000000
248,COL,A,2014,4.20000000
249,COL,A,2015,4.20000000
250,COL,A,2016,4.50000000
251,COL,A,2017,4.20000000
252,COL,A,2018,4.20000000
253,COL,A,2019,4.10000000
254,CRI,A,2010,3.70000000
255,CRI,B,2011,3.30000000
256,CRI,A,2012,3.20000000
257,CRI,A,2013,3.10000000
258,CRI,A,2014,3.20000000
259,CRI,A,2015,3.20000000
260,CRI,A,2016,3.40000000
261,CRI,A,2017,3.30000000
262,CRI,A,2018,3.30000000
263,CRI,A,2019,3.10000000
264,CRI,A,2020,3.20000000
265,CRI,P,2021,3.10000000
266,CRI,P,2022,3.50000000
267,PRT,A,2010,11.30000000
268,PRT,A,2011,10.90000000
269,PRT,A,2012,9.80000000
270,PRT,A,2013,9.50000000
271,PRT,A,2014,10.20000000
272,PRT,A,2015,10.30000000
273,PRT,A,2016,10.40000000
274,PRT,A,2017,10.40000000
275,PRT,A,2018,10.40000000
276,PRT,A,2019,10.40000000
277,ROU,A,2010,10.00000000
278,ROU,A,2011,9.60000000
279,ROU,A,2012,9.70000000
280,ROU,A,2013,9.70000000
281,ROU,A,2014,9.50000000
282,ROU,A,2015,9.50000000
283,ROU,A,2016,9.60000000
284,ROU,A,2017,10.10000000
285,ROU,A,2018,11.00000000
286,ROU,A,2019,11.00000000
287,ZAF,A,2010,7.10000000
288,ZAF,A,2011,7.20000000
289,ZAF,A,2012,7.20000000
290,ZAF,A,2013,7.20000000
291,ZAF,A,2014,7.20000000
292,ZAF,A,2015,7.20000000
293,ZAF,A,2016,7.30000000
294,ZAF,A,2017,7.30000000
295,ZAF,A,2018,7.20000000
296,ZAF,A,2019,7.20000000
297,JPN,A,2010,7.30000000
298,JPN,A,2011,7.30000000
299,JPN,A,2012,7.20000000
300,JPN,A,2013,7.40000000
301,JPN,A,2014,7.10000000
302,JPN,A,2015,7.20000000
303,JPN,A,2016,7.20000000
304,JPN,A,2017,7.20000000
305,JPN,A,2018,7.20000000
306,JPN,A,2019,7.10000000
307,JPN,A,2020,6.70000000
308,JPN,A,2021,6.60000000
309,NOR,A,2010,6.60000000
310,NOR,A,2011,6.40000000
311,NOR,A,2012,6.20000000
312,NOR,A,2013,6.20000000
313,NOR,A,2014,6.10000000
314,NOR,A,2015,6.00000000
315,NOR,A,2016,6.00000000
316,NOR,A,2017,6.00000000
317,NOR,A,2018,6.00000000
318,NOR,A,2019,6.10000000
319,NOR,A,2020,7.20000000
320,NOR,A,2021,7.40000000
321,NOR,A,2022,6.60000000
322,CHL,A,2010,7.60000000
323,CHL,A,2011,7.10000000
324,CHL,A,2012,8.30000000
325,CHL,A,2013,7.20000000
326,CHL,A,2014,7.90000000
327,CHL,A,2015,7.90000000
328,CHL,B,2016,6.40000000
329,CHL,A,2017,5.70000000
330,CHL,A,2018,6.30000000
331,CHL,A,2019,7.10000000
332,NZL,A,2010,9.60000000
333,NZL,A,2011,9.50000000
334,NZL,A,2012,9.20000000
335,NZL,A,2013,9.20000000
336,NZL,A,2014,9.10000000
337,NZL,A,2015,8.70000000
338,NZL,A,2016,8.90000000
339,NZL,A,2017,8.80000000
340,NZL,A,2018,8.80000000
341,NZL,A,2019,8.80000000
342,NZL,A,2020,8.70000000
343,NZL,A,2021,8.80000000
344,NZL,A,2022,8.70000000
345,CAN,A,2010,8.40000000
346,CAN,A,2011,8.20000000
347,CAN,A,2012,8.30000000
348,CAN,A,2013,8.20000000
349,CAN,A,2014,8.00000000
350,CAN,A,2015,8.00000000
351,CAN,A,2016,8.10000000
352,CAN,A,2017,8.20000000
353,CAN,A,2018,8.20000000
354,CAN,A,2019,8.00000000
355,CAN,A,2020,8.10000000
356,CAN,A,2021,8.30000000
357,CAN,A,2022,8.10000000
358,KOR,A,2010,8.90000000
359,KOR,A,2011,8.90000000
360,KOR,A,2012,9.00000000
361,KOR,A,2013,8.70000000
362,KOR,A,2014,8.90000000
363,KOR,A,2015,9.10000000
364,KOR,A,2016,8.70000000
365,KOR,A,2017,8.70000000
366,KOR,A,2018,8.50000000
367,KOR,A,2019,8.30000000
368,KOR,A,2020,7.90000000
369,KOR,A,2021,7.70000000
370,CHE,A,2010,9.70000000
371,CHE,A,2011,9.50000000
372,CHE,A,2012,9.30000000
373,CHE,A,2013,9.30000000
374,CHE,A,2014,9.10000000
375,CHE,A,2015,8.90000000
376,CHE,A,2016,8.70000000
377,CHE,A,2017,8.60000000
378,CHE,A,2018,8.50000000
379,CHE,A,2019,8.70000000
380,CHE,A,2020,8.50000000
381,CHE,A,2021,8.50000000
382,TUR,A,2010,1.50000000
383,TUR,A,2011,1.50000000
384,TUR,A,2012,1.60000000
385,TUR,A,2013,1.40000000
386,TUR,A,2014,1.50000000
387,TUR,A,2015,1.40000000
388,TUR,A,2016,1.30000000
389,TUR,A,2017,1.40000000
390,TUR,A,2018,1.40000000
391,TUR,A,2019,1.30000000
392,TUR,A,2020,1.20000000
393,TUR,A,2021,1.40000000
394,FIN,A,2010,9.70000000
395,FIN,A,2011,9.80000000
396,FIN,A,2012,9.30000000
397,FIN,A,2013,9.10000000
398,FIN,A,2014,8.80000000
399,FIN,A,2015,8.50000000
400,FIN,A,2016,8.40000000
401,FIN,A,2017,8.40000000
402,FIN,A,2018,8.40000000
403,FIN,A,2019,8.20000000
404,FIN,A,2020,8.20000000
405,FIN,A,2021,8.10000000
406,FRA,A,2010,12.30000000
407,FRA,A,2011,12.40000000
408,FRA,A,2012,12.20000000
409,FRA,A,2013,11.60000000
410,FRA,A,2014,12.00000000
411,FRA,A,2015,11.90000000
412,FRA,A,2016,11.70000000
413,FRA,A,2017,11.70000000
414,FRA,A,2018,11.60000000
415,FRA,A,2019,11.40000000
416,FRA,A,2020,10.40000000
417,FRA,A,2021,10.50000000
418,DEU,A,2010,11.60000000
419,DEU,A,2011,11.30000000
420,DEU,A,2012,11.30000000
421,DEU,A,2013,11.10000000
422,DEU,A,2014,11.10000000
423,DEU,A,2015,11.10000000
424,DEU,A,2016,11.00000000
425,DEU,A,2017,10.90000000
426,DEU,A,2018,10.90000000
427,DEU,A,2019,10.60000000
428,GRC,A,2010,8.30000000
429,GRC,A,2011,7.50000000
430,GRC,A,2012,7.60000000
431,GRC,A,2013,7.60000000
432,GRC,A,2014,7.10000000
433,GRC,A,2015,6.70000000
434,GRC,A,2016,6.70000000
435,GRC,A,2017,6.70000000
436,GRC,A,2018,6.50000000
437,GRC,A,2019,6.30000000
438,BRA,E,2010,8.50000000
439,BRA,E,2011,8.60000000
440,BRA,E,2012,8.40000000
441,BRA,E,2013,8.30000000
442,BRA,E,2014,9.20000000
443,BRA,E,2015,9.20000000
444,BRA,E,2016,9.70000000
445,BRA,E,2017,9.20000000
446,BRA,E,2018,9.40000000
447,BRA,E,2019,9.80000000
448,BRA,E,2020,9.80000000
449,LVA,A,2010,9.80000000
450,LVA,A,2011,10.10000000
451,LVA,A,2012,10.20000000
452,LVA,A,2013,10.40000000
453,LVA,A,2014,10.60000000
454,LVA,A,2015,10.80000000
455,LVA,A,2016,11.30000000
456,LVA,B,2017,10.90000000
457,LVA,A,2018,11.00000000
458,LVA,A,2019,11.60000000
459,LVA,A,2020,12.10000000
460,LVA,A,2021,12.20000000
461,GBR,A,2010,10.10000000
462,GBR,A,2011,9.90000000
463,GBR,A,2012,9.60000000
464,GBR,A,2013,9.40000000
465,GBR,A,2014,9.40000000
466,GBR,A,2015,9.50000000
467,GBR,A,2016,9.50000000
468,GBR,A,2017,9.70000000
469,GBR,A,2018,9.80000000
470,GBR,A,2019,9.70000000
471,GBR,A,2020,9.70000000
472,GBR,A,2021,10.00000000
473,IDN,A,2010,0.10000000
474,IDN,A,2011,0.10000000
475,IDN,A,2012,0.10000000
476,IDN,A,2013,0.10000000
477,IDN,A,2014,0.10000000
478,IDN,A,2015,0.10000000
479,IDN,A,2016,0.10000000
480,IDN,A,2017,0.10000000
481,IDN,A,2018,0.10000000
482,IDN,A,2019,0.10000000
483,HUN,A,2010,10.80000000
484,HUN,A,2011,11.40000000
485,HUN,A,2012,11.10000000
486,HUN,A,2013,10.60000000
487,HUN,A,2014,10.90000000
488,HUN,A,2015,10.80000000
489,HUN,A,2016,11.10000000
490,HUN,A,2017,10.70000000
491,HUN,A,2018,11.40000000
492,HUN,A,2019,10.70000000
493,HUN,A,2020,10.40000000
494,HUN,A,2021,10.40000000
495,USA,A,2010,8.60000000
496,USA,A,2011,8.70000000
497,USA,A,2012,8.90000000
498,USA,A,2013,8.80000000
499,USA,A,2014,8.80000000
500,USA,A,2015,8.80000000
501,USA,A,2016,8.90000000
502,USA,A,2017,8.90000000
503,USA,A,2018,8.90000000
504,USA,A,2019,9.00000000
505,USA,A,2020,9.20000000
506,USA,A,2021,9.50000000
507,IRL,A,2010,11.60000000
508,IRL,A,2011,11.70000000
509,IRL,E,2012,11.50000000
510,IRL,E,2013,10.60000000
511,IRL,E,2014,10.80000000
512,IRL,E,2015,10.70000000
513,IRL,E,2016,11.20000000
514,IRL,E,2017,11.00000000
515,IRL,E,2018,11.00000000
516,IRL,A,2019,10.80000000
517,IRL,A,2020,10.10000000
518,IRL,A,2021,9.50000000
519,IRL,A,2022,10.20000000
520,ITA,A,2010,7.00000000
521,ITA,A,2011,7.00000000
522,ITA,A,2012,7.50000000
523,ITA,A,2013,7.40000000
524,ITA,A,2014,7.60000000
525,ITA,A,2015,7.10000000
526,ITA,A,2016,7.10000000
527,ITA,A,2017,7.40000000
528,ITA,A,2018,7.80000000
529,ITA,A,2019,7.70000000
530,HRV,A,2010,10.70000000
531,HRV,A,2011,11.00000000
532,HRV,A,2012,10.60000000
533,HRV,A,2013,10.40000000
534,HRV,A,2014,9.50000000
535,HRV,A,2015,9.60000000
536,HRV,A,2016,10.00000000
537,HRV,A,2017,9.70000000
538,HRV,A,2018,9.60000000
539,HRV,A,2019,9.60000000
540,ISR,A,2010,2.80000000
541,ISR,A,2011,2.80000000
542,ISR,A,2012,2.90000000
543,ISR,A,2013,2.90000000
544,ISR,A,2014,2.70000000
545,ISR,A,2015,2.70000000
546,ISR,A,2016,2.70000000
547,ISR,A,2017,2.90000000
548,ISR,A,2018,3.00000000
549,ISR,A,2019,3.10000000
